Recording,Task,Participant,AOI,AOI_No,Duration_of_interval,Last_key_press,Total_duration_of_fixations,Average_duration_of_fixations,Minimum_duration_of_fixations,Maximum_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Duration_of_first_fixation,Last_AOI_viewed,Average_pupil_diameter,Total_duration_of_whole_fixations,Average_duration_of_whole_fixations,Minimum_duration_of_whole_fixations,Maximum_duration_of_whole_fixations,Number_of_whole_fixations,Time_to_first_whole_fixation,Duration_of_first_whole_fixation,Average_whole-fixation_pupil_diameter,Total_duration_of_Visit,Average_duration_of_Visit,Minimum_duration_of_Visit,Maximum_duration_of_Visit,Number_of_Visits,Time_to_first_Visit,Duration_of_first_Visit,Total_duration_of_Glances,Average_duration_of_Glances,Minimum_duration_of_Glances,Maximum_duration_of_Glances,Number_of_Glances,Time_to_first_Glance,Duration_of_first_Glance,Number_of_mouse_clicks,Time_to_first_mouse_click,Time_from_first_fixation_to_mouse_click,Number_of_mouse_clicks_and_releases,Time_to_first_mouse_click_and_release,Time_from_first_fixation_to_mouse_click_and_release,Number_of_saccades_in_AOI,Time_to_entry_saccade,Time_to_exit_saccade,Peak_velocity_of_entry_saccade,Peak_velocity_of_exit_saccade,Character_index,Word_index,Sentence_index,AOI_string,Text_unit_type,Number_of_units,First-pass_first_fixation_duration,First-pass_duration,Selective_regression-path_duration,First-pass_regression,Total_duration_of_fixations,Regression-path_duration,Re-reading_duration
p100_1,1,p100,code pane,AOI_2,1087225,[Ctrl] + s,461299,246,62,2400,1874,107030,107030,project structure,3.86523,420664,243,62,2400,1731,107156,100,3.85592,726952,11359,100,92816,64,107030,2351,728856,11388,117,92858,64,107030,2351,177,109570,2540,177,109570,2540,1367,109831,110923,36.58,503.43,,,,,,,,,,,,,
p100_1,1,p100,copilot,AOI_3,1087225,[Ctrl] + s,127641,281,67,2658,454,111006,217,project structure,3.83957,110870,269,67,2658,412,111006,217,3.8244,183216,3983,67,21442,46,111006,1050,184587,4013,67,21450,46,110923,1133,15,162194,51187,15,162194,51187,317,110923,115081,503.43,522.31,,,,,,,,,,,,,
p100_1,1,p100,project structure,AOI_4,1087225,[Ctrl] + s,2882,180,83,467,16,202522,183,project structure,3.70315,2608,186,92,467,14,202522,183,3.6817,3373,562,183,1725,6,202522,183,3590,598,208,1750,6,202497,208,1,700981,498459,1,700981,498459,8,202497,202706,95.76,150.02,,,,,,,,,,,,,
p100_1,1,p100,stack trace,AOI_5,1087225,[Ctrl] + s,10483,214,75,675,49,483604,133,project structure,3.93984,8275,202,75,517,41,483604,133,3.94849,15683,713,108,4333,22,483604,717,16158,734,150,4333,22,483604,717,2,484111,506,2,484111,506,19,483513,484346,213.21,31.72,,,,,,,,,,,,,
p100_2,2,p100,chat,AOI_1,1042661,Return,58192,206,67,908,282,190914,133,projec structure,3.90294,52975,208,67,908,255,190914,133,3.9008,96692,1179,67,11441,82,190914,133,98925,1206,,,,190914,133,21,276028,85114,21,276028,85114,154,190814,285622,611.35,51.36,,,,,,,,,,,,,
p100_2,2,p100,code pane,AOI_2,1042661,Return,371360,250,38,2242,1485,186026,38,projec structure,3.86154,323525,244,67,2242,1326,186148,500,3.85382,572069,8172,100,59275,70,186026,4763,574507,8207,175,59275,70,186026,4763,162,191373,5347,161,191373,5347,1002,251564,190814,582.24,611.35,,,,,,,,,,,,,
p100_2,2,p100,project structure,AOI_4,1042661,Return,621,155,87,233,4,612721,167,projec structure,3.96967,533,178,133,233,3,612721,167,4.0238,621,155,87,233,4,612721,167,662,166,121,233,4,612712,175,0,,,0,,,0,1028168,,278.02,,,,,,,,,,,,,,
p100_2,2,p100,stack trace,AOI_5,1042661,Return,896,224,121,375,4,845745,375,projec structure,3.85196,896,224,121,375,4,845745,375,3.85196,937,312,121,442,3,845745,375,979,326,121,483,3,845745,375,0,,,0,,,1,1010685,850982,564.22,68.56,,,,,,,,,,,,,
p101_1,1,p101,code pane,AOI_2,1040159,LeftControl,602384,346,62,2975,1740,65701,150,stack trace,5.20322,553084,341,62,2442,1624,65701,150,5.19038,815508,12742,62,208865,64,65701,767,817762,12778,62,208882,64,65651,817,175,76437,10736,175,76437,10736,1476,65651,66468,480.27,518.83,,,,,,,,,,,,,
p101_1,1,p101,copilot,AOI_3,1040159,LeftControl,51116,348,83,2825,147,65406,246,stack trace,5.1787,49154,349,83,2825,141,84268,225,5.18165,63345,1863,117,22158,34,65406,246,64495,1897,117,22233,34,65406,246,7,234636,169230,7,234636,169230,99,84243,65651,91.18,480.27,,,,,,,,,,,,,
