Task,Participant,AOI,AOI_No,Duration_of_interval,Total_duration_of_fixations,reliance
1,p100,code pane,AOI_2,1087225,461299,0.117400722
1,p100,copilot,AOI_3,1087225,127641,NA
1,p100,project structure,AOI_4,1087225,2882,NA
1,p100,stack trace,AOI_5,1087225,10483,NA
2,p100,chat,AOI_1,1042661,58192,0.055811045
2,p100,code pane,AOI_2,1042661,371360,NA
2,p100,project structure,AOI_4,1042661,621,NA
2,p100,stack trace,AOI_5,1042661,896,NA
1,p101,code pane,AOI_2,1040159,602384,0.049142487
1,p101,copilot,AOI_3,1040159,51116,NA
1,p101,project structure,AOI_4,1040159,21125,NA
1,p101,stack trace,AOI_5,1040159,6625,NA
2,p101,chat,AOI_1,1104028,35833,0.032456604
2,p101,code pane,AOI_2,1104028,619109,NA
2,p101,project structure,AOI_4,1104028,3900,NA
2,p101,stack trace,AOI_5,1104028,2275,NA
1,p102,code pane,AOI_2,1056979,549506,0.060888627
1,p102,copilot,AOI_3,1056979,64358,NA
1,p102,project structure,AOI_4,1056979,517,NA
1,p102,stack trace,AOI_5,1056979,9252,NA
2,p102,chat,AOI_1,1022955,114049,0.111489753
2,p102,code pane,AOI_2,1022955,374545,NA
2,p102,project structure,AOI_4,1022955,0,NA
2,p102,stack trace,AOI_5,1022955,0,NA
1,p103,code pane,AOI_2,1052622,590243,0.031583987
1,p103,copilot,AOI_3,1052622,33246,NA
1,p103,project structure,AOI_4,1052622,608,NA
1,p103,stack trace,AOI_5,1052622,1558,NA
2,p103,chat,AOI_1,1064897,70266,0.065983846
2,p103,code pane,AOI_2,1064897,445136,NA
2,p103,project structure,AOI_4,1064897,1042,NA
2,p103,stack trace,AOI_5,1064897,2500,NA
1,p104,code pane,AOI_2,1036879,451403,0.059284642
1,p104,copilot,AOI_3,1036879,61471,NA
1,p104,project structure,AOI_4,1036879,1433,NA
1,p104,stack trace,AOI_5,1036879,14400,NA
2,p104,chat,AOI_1,1021366,92541,0.090605131
2,p104,code pane,AOI_2,1021366,515141,NA
2,p104,project structure,AOI_4,1021366,983,NA
2,p104,stack trace,AOI_5,1021366,12716,NA
1,p105,code pane,AOI_2,1026012,432541,0.071932882
1,p105,copilot,AOI_3,1026012,73804,NA
1,p105,project structure,AOI_4,1026012,13725,NA
1,p105,stack trace,AOI_5,1026012,7367,NA
2,p105,chat,AOI_1,1014744,95087,0.093705407
2,p105,code pane,AOI_2,1014744,308937,NA
2,p105,project structure,AOI_4,1014744,450,NA
2,p105,stack trace,AOI_5,1014744,225,NA
1,p107,code pane,AOI_2,1110887,449877,0.051403968
1,p107,copilot,AOI_3,1110887,57104,NA
1,p107,project structure,AOI_4,1110887,3442,NA
1,p107,stack trace,AOI_5,1110887,8258,NA
2,p107,chat,AOI_1,1011340,5325,0.005265292
2,p107,code pane,AOI_2,1011340,426216,NA
2,p107,project struture,AOI_4,1011340,18529,NA
2,p107,stack trace,AOI_5,1011340,39871,NA
1,p108,code pane,AOI_2,1011530,518588,0.024982947
1,p108,copilot,AOI_3,1011530,25271,NA
1,p108,project structure,AOI_4,1011530,18754,NA
1,p108,stack trace,AOI_5,1011530,19946,NA
2,p108,chat,AOI_1,1010390,138740,0.137313315
2,p108,code pane,AOI_2,1010390,413494,NA
2,p108,project structure,AOI_4,1010390,3258,NA
2,p108,stack trace,AOI_5,1010390,14087,NA
1,p109,code pane,AOI_2,1023470,498965,0.119410437
1,p109,copilot,AOI_3,1023470,122213,NA
1,p109,project structure,AOI_4,1023470,7129,NA
1,p109,stack trace,AOI_5,1023470,6696,NA
2,p109,chat,AOI_1,1016930,31885.25,0.03135442
2,p109,code pane,AOI_2,1016930,267853.5,NA
2,p109,project structure,AOI_4,1016930,5193.5,NA
2,p109,stack trace,AOI_5,1016930,10391.5,NA
2,p110,chat,AOI_1,1013681,136552,0.134709046
2,p110,code pane,AOI_2,1013681,404093,NA
2,p110,project structure,AOI_4,1013681,0,NA
2,p110,stack trace,AOI_5,1013681,92,NA
1,p111,code pane,AOI_2,1007574,308733,0.158118411
1,p111,copilot,AOI_3,1007574,159316,NA
1,p111,project structure,AOI_4,1007574,3456,NA
1,p111,stack trace,AOI_5,1007574,24625,NA
2,p111,chat,AOI_1,1023712,132617,0.129545224
2,p111,code pane,AOI_2,1023712,392751,NA
2,p111,project structure,AOI_4,1023712,0,NA
2,p111,stack trace,AOI_5,1023712,3479,NA
1,p112,code pane,AOI_2,829085,403464,0.097958593
1,p112,copilot,AOI_3,829085,81216,NA
1,p112,project structure,AOI_4,829085,28533,NA
1,p112,stack trace,AOI_5,829085,13171,NA
2,p114,chat,AOI_1,1013862,6829,0.006735631
2,p114,code pane,AOI_2,1013862,83091,NA
2,p114,project structure,AOI_4,1013862,7,NA
2,p114,stack trace,AOI_5,1013862,2262,NA
1,p115,code pane,AOI_2,773836,313107,0.123280643
1,p115,copilot,AOI_3,773836,95399,NA
1,p115,project structure,AOI_4,773836,0,NA
1,p115,stack trace,AOI_5,773836,12657,NA
2,p115,chat,AOI_1,303392,18625,0.061389226
2,p115,code pane,AOI_2,303392,74244,NA
2,p115,project structure,AOI_4,303392,608,NA
2,p115,stack trace,AOI_5,303392,789,NA
1,p116,code pane,AOI_2,1154493,457715,0.123852635
1,p116,copilot,AOI_3,1154493,142987,NA
1,p116,project structure,AOI_4,1154493,3533,NA
1,p116,stack trace,AOI_5,1154493,27592,NA
2,p116,chat,AOI_1,1118547,46762,0.041806022
2,p116,code pane,AOI_2,1118547,540538,NA
